Unnamed: 0,Page-1-Clicks,Page-2-Clicks,Page-3-Clicks,Page-4-Clicks,Page-5-Clicks,Page-6-Clicks,Page-7-Clicks,Page-8-Clicks,Page-9-Clicks,Page-10-Clicks,Food-Clicks,Gossip-Clicks,Politic-Clicks,Science-Clicks,Sport-Clicks,Tech-Clicks,Food-Allocations,Gossip-Allocations,Politic-Allocations,Science-Allocations,Sport-Allocations,Tech-Allocations,Page-1-Time,Page-2-Time,Page-3-Time,Page-4-Time,Page-5-Time,Page-6-Time,Page-7-Time,Page-8-Time,Page-9-Time,Page-10-Time,cluster
107,3.0,5.0,4.0,3.0,5.0,6.0,1.0,6.0,4.0,4.0,0,1,2,33,3,2,12,13,14,68,11,12,61.28100000000001,41.942,55.831,34.983000000000004,40.662,52.268,36.547,44.524,40.726,44.434,3
108,7.0,4.0,6.0,5.0,6.0,7.0,6.0,6.0,5.0,4.0,2,0,0,23,0,31,15,11,11,33,12,48,55.606,37.025,42.058,33.147,38.287,48.937,55.908,51.764,36.988,43.649,4
109,5.0,6.0,5.0,7.0,7.0,3.0,6.0,6.0,5.0,7.0,0,0,37,10,2,8,10,13,52,22,16,17,31.05,35.179,26.792,37.386,36.96,22.43,50.824,25.755,24.433000000000003,50.848,4
110,5.0,6.0,5.0,7.0,6.0,8.0,9.0,6.0,6.0,5.0,1,1,9,38,3,11,12,11,21,59,10,17,65.475,56.789,55.657,50.962,56.227,62.303,45.761,47.042,43.532,50.83,4
111,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,2.0,3.0,13,1,2,2,3,1,45,14,19,19,21,12,44.282,15.709,17.438,17.391,19.886,19.255,13.261,11.33,18.143,14.159,3
112,3.0,6.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,9,2,0,15,0,3,28,19,11,43,10,19,71.257,57.928,36.969,37.755,47.584,46.63399999999999,39.187,51.826,45.825,30.429,3
113,4.0,5.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,1,0,11,13,0,4,16,13,34,35,16,16,61.28,66.133,63.36,76.961,86.95700000000002,73.839,78.842,63.386,69.498,79.77600000000002,3
114,3.0,3.0,3.0,5.0,4.0,1.0,2.0,5.0,3.0,5.0,0,1,5,21,1,6,14,12,20,44,18,22,44.149,42.723,58.19300000000001,45.895,55.407,37.919,42.011,47.74800000000001,50.931,44.469,3
115,8.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,11.0,9.0,2,2,17,32,11,29,12,11,21,36,20,30,47.069,39.626,26.858,18.785,37.265,27.116,18.909,34.629,32.119,27.798,28
117,1.0,3.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,0,1,2,5,4,6,16,14,19,28,23,30,41.464,28.268,29.295,26.95,22.577,26.202,26.074,25.996,29.385,21.305,3
118,4.0,3.0,4.0,5.0,6.0,4.0,3.0,1.0,6.0,1.0,0,1,0,15,6,15,12,15,12,31,23,37,68.686,38.229,49.035,55.51600000000001,48.273,67.084,38.196,34.069,40.477,30.767,3
119,4.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,2.0,3.0,0,5,1,17,1,14,14,16,15,38,14,33,46.082,36.545,40.163,38.278,32.352,30.653,27.601,31.478,31.76,30.399,3
120,4.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1,0,2,17,0,3,15,14,18,55,11,17,67.141,39.813,41.415,49.351000000000006,76.054,44.124,35.317,49.03,43.517,34.249,3
121,2.0,8.0,6.0,7.0,4.0,3.0,3.0,5.0,5.0,4.0,0,0,20,17,0,10,13,16,29,34,13,25,30.664,24.743,27.011,21.994,22.871,16.088,44.67100000000001,22.28,25.161,27.863000000000003,3
122,1.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2,0,0,2,0,12,20,15,15,20,13,47,70.288,37.914,47.879,129.115,44.783,61.982,34.543,65.439,113.344,51.324,3
123,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1,6,0,5,0,1,17,36,15,31,15,16,27.491,40.37,22.435,23.961,28.367,23.628,31.893,29.482,35.87699999999999,23.972,3
124,3.0,2.0,5.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1,0,2,18,1,2,13,13,16,56,14,18,82.56299999999997,75.865,77.125,54.533,70.452,85.36399999999998,67.04899999999999,76.48899999999998,50.972,65.675,3
125,4.0,8.0,8.0,6.0,10.0,9.0,9.0,8.0,10.0,8.0,44,0,5,15,4,12,46,13,15,21,14,21,91.924,58.482,68.152,42.107,40.088,43.19600000000001,38.37300000000001,41.928,42.882,63.197,10
126,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,0,5,4,5,11,0,14,26,17,24,34,15,44.548,31.658,30.359,35.074,25.27,29.74,19.473,18.65,17.854,21.028,3
127,6.0,5.0,5.0,5.0,5.0,4.0,5.0,9.0,8.0,8.0,1,1,7,9,2,40,11,14,15,16,11,63,58.719,34.716,30.088,26.058000000000003,20.766,17.562,25.947,51.518,31.381,37.549,2
128,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,0,1,1,0,31,18,19,20,25,17,57.967,39.365,35.331,25.059,19.791,20.858,19.138,29.795,27.832,18.421,3
129,3.0,4.0,8.0,6.0,7.0,8.0,6.0,7.0,9.0,8.0,0,0,32,30,4,0,13,11,37,42,15,12,56.48,35.115,48.389,62.025,30.201,44.708,35.455,28.207,33.125,26.434,1
130,6.0,5.0,6.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,6,0,4,25,2,7,19,14,20,46,10,21,56.721,54.096,59.294,60.589,54.042,89.11399999999998,62.293,98.319,78.747,57.0,11
131,5.0,5.0,5.0,5.0,5.0,8.0,7.0,5.0,6.0,6.0,3,0,31,4,2,17,18,11,39,18,12,32,72.012,50.608,41.163,45.077,33.036,43.36,35.075,30.278,28.885,51.87,4
132,6.0,4.0,8.0,6.0,6.0,4.0,7.0,3.0,7.0,6.0,0,0,0,15,1,41,11,11,13,26,13,56,61.487,50.49100000000001,31.282,30.717,23.585,35.482,16.121,24.221,15.187,17.913,4
133,6.0,4.0,3.0,4.0,5.0,5.0,2.0,2.0,5.0,3.0,4,2,3,23,0,7,18,15,13,51,12,21,50.997,32.306999999999995,31.591,33.936,35.628,33.419000000000004,24.837,206.139,29.209,31.602,3
134,2.0,2.0,1.0,3.0,2.0,0.0,1.0,3.0,2.0,1.0,4,0,0,12,0,1,26,14,15,46,14,15,57.63800000000001,43.852,36.75,42.78100000000001,38.989,42.43,30.967,44.084,46.833,35.767,3
135,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,3,1,2,0,16,16,32,23,28,15,23.966,19.957,20.343,22.99,24.425,18.098,20.054,15.77,30.676,20.581,3
136,2.0,2.0,4.0,4.0,6.0,4.0,2.0,3.0,1.0,3.0,2,0,6,22,0,1,14,15,20,53,16,12,32.741,29.566,25.172,35.784,25.374,18.583,18.814,22.38,25.06,14.067,3
137,3.0,6.0,6.0,6.0,7.0,5.0,4.0,8.0,5.0,7.0,8,2,1,27,0,19,23,13,14,40,12,28,41.805,35.476,32.701,52.83600000000001,94.253,28.576,43.185,43.07899999999999,39.114,50.495,12
138,3.0,5.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,7.0,0,0,0,14,1,56,10,14,12,19,11,64,39.878,31.386,20.188,16.247,20.299,36.421,39.906,26.438,30.587,40.202,1
139,7.0,8.0,9.0,9.0,10.0,9.0,9.0,11.0,11.0,10.0,15,0,7,34,1,36,21,11,15,34,11,38,44.99,42.964,50.526,29.298,48.907,31.809,38.703,34.743,33.734,40.736,28
140,4.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,2,3,1,10,8,10,17,16,13,28,29,27,36.01,33.826,74.373,26.342,67.819,32.59,21.803,30.292,45.385,31.089,3
141,5.0,7.0,4.0,5.0,4.0,4.0,5.0,6.0,2.0,5.0,4,0,1,34,7,1,14,13,11,58,19,15,95.335,96.2,93.839,130.089,80.404,86.08200000000002,94.392,109.944,59.922,76.641,3
142,3.0,0.0,2.0,2.0,3.0,1.0,3.0,3.0,5.0,2.0,3,4,4,1,6,6,21,23,22,12,24,28,26.361,22.048,23.909,19.609,21.652,15.008,24.732,16.974,20.961,18.01,3
143,2.0,4.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,1,1,2,4,5,4,16,17,18,27,23,29,51.306,38.882,36.931,35.98300000000001,35.404,24.157,27.111,24.394,21.475,23.98,3
144,4.0,6.0,7.0,7.0,6.0,3.0,4.0,3.0,6.0,7.0,1,2,0,24,5,21,12,14,11,42,11,40,53.67,63.537,57.399,59.374,47.997,57.609,47.328,45.578,53.938,57.8,4
145,2.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,2,18,1,0,2,0,23,44,16,11,21,15,36.896,19.988,16.111,18.435,19.743,16.285999999999998,22.686,19.346,11.562,17.22,3
146,3.0,6.0,3.0,3.0,7.0,7.0,4.0,1.0,4.0,5.0,4,0,12,12,2,13,14,15,27,30,13,31,78.449,37.172,32.958,41.842,39.473,32.367,33.031,52.232,27.324,44.615,13
